Participant,Time to Receive
Participant2,673
Participant3,615
Participant4,605
Participant5,739
Participant2,47
Participant3,76
Participant4,96
Participant5,93
Participant2,60
Participant3,44
Participant4,154
Participant5,107
Participant2,91
Participant3,97
Participant4,88
Participant5,142
Participant2,65
Participant3,84
Participant4,61
Participant5,76
Participant2,75
Participant3,311
Participant4,90
Participant5,144
Participant2,140
Participant3,65
Participant4,98
Participant5,72
Participant2,137
Participant3,144
Participant4,63
Participant5,129
Participant2,126
Participant3,79
Participant4,83
Participant5,107
Participant2,132
Participant3,34
Participant4,134
Participant5,104
Participant2,30
Participant3,89
Participant4,55
Participant5,157
