Participant,Time to Receive
Participant2,617
Participant3,523
Participant4,532
Participant5,797
Participant2,213
Participant3,165
Participant4,1045
Participant5,44
Participant2,165
Participant3,21
Participant4,166
Participant5,46
Participant2,30
Participant3,17
Participant4,42
Participant5,36
Participant2,13
Participant3,34
Participant4,510
Participant5,53
Participant2,113
Participant3,124
Participant4,543
Participant5,39
Participant2,112
Participant3,20
Participant4,3430
Participant5,41
Participant2,29
Participant3,141
Participant4,49
Participant5,32
Participant2,22
Participant3,89
Participant4,51
Participant5,35
Participant2,47
Participant3,50
Participant4,28
Participant5,91
Participant2,10
Participant3,15
Participant4,63
Participant5,208
