Participant,Time to Receive
Participant2,503
Participant3,531
Participant4,544
Participant5,563
Participant2,19
Participant3,27
Participant4,65
Participant5,79
Participant2,15
Participant3,18
Participant4,30
Participant5,45
Participant2,16
Participant3,19
Participant4,29
Participant5,54
Participant2,9
Participant3,21
Participant4,29
Participant5,39
Participant2,13
Participant3,20
Participant4,27
Participant5,43
Participant2,11
Participant3,15
Participant4,28
Participant5,51
Participant2,13
Participant3,15
Participant4,38
Participant5,47
Participant2,13
Participant3,21
Participant4,30
Participant5,39
Participant2,11
Participant3,18
Participant4,33
Participant5,38
Participant2,11
Participant3,20
Participant4,31
Participant5,39
