Participant,Time to Receive
Participant2,696
Participant3,731
Participant4,735
Participant5,730
Participant2,97
Participant3,117
Participant4,173
Participant5,274
Participant2,103
Participant3,214
Participant4,251
Participant5,208
Participant2,56
Participant3,91
Participant4,124
Participant5,246
Participant2,155
Participant3,295
Participant4,208
Participant5,352
Participant2,210
Participant3,139
Participant4,156
Participant5,146
Participant2,229
Participant3,114
Participant4,315
Participant5,216
Participant2,268
Participant3,216
Participant4,332
Participant5,195
Participant2,156
Participant3,324
Participant4,488
Participant5,277
Participant2,272
Participant3,238
Participant4,151
Participant5,326
Participant2,155
Participant3,74
Participant4,179
Participant5,312
