Participant,Time to Receive
Participant2,591
Participant3,793
Participant4,597
Participant5,597
Participant2,22
Participant3,33
Participant4,40
Participant5,53
Participant2,19
Participant3,24
Participant4,35
Participant5,44
Participant2,14
Participant3,28
Participant4,38
Participant5,55
Participant2,18
Participant3,20
Participant4,42
Participant5,55
Participant2,21
Participant3,17
Participant4,30
Participant5,45
Participant2,21
Participant3,31
Participant4,32
Participant5,46
Participant2,19
Participant3,21
Participant4,29
Participant5,43
Participant2,13
Participant3,19
Participant4,43
Participant5,37
Participant2,13
Participant3,20
Participant4,35
Participant5,55
Participant2,14
Participant3,30
Participant4,25
Participant5,39
