Participant,Time to Receive
Participant2,690
Participant3,532
Participant4,560
Participant5,674
Participant2,15
Participant3,36
Participant4,81
Participant5,68
Participant2,83
Participant3,113
Participant4,28
Participant5,52
Participant2,12
Participant3,22
Participant4,39
Participant5,43
Participant2,18
Participant3,14
Participant4,25
Participant5,97
Participant2,19
Participant3,25
Participant4,174
Participant5,80
Participant2,12
Participant3,44
Participant4,37
Participant5,49
Participant2,10
Participant3,20
Participant4,35
Participant5,67
Participant2,9
Participant3,76
Participant4,22
Participant5,342
Participant2,401
Participant3,35
Participant4,25
Participant5,97
Participant2,10
Participant3,16
Participant4,28
Participant5,77
