Participant,Time to Receive
Participant2,542
Participant3,602
Participant4,633
Participant5,515
Participant2,64
Participant3,176
Participant4,2289
Participant5,856258
Participant2,53
Participant3,191
Participant4,77
Participant5,140
Participant2,24
Participant3,104
Participant4,102
Participant5,38
Participant2,44177
Participant3,192
Participant4,21
Participant5,319
Participant2,516
Participant3,506
Participant4,936
Participant5,7383
Participant2,218
Participant3,17
Participant4,23525
Participant5,2975
Participant2,11
Participant3,155
Participant4,43
Participant5,30
Participant2,2241
Participant3,16
Participant4,108
Participant5,6266
Participant2,13
Participant3,61
Participant4,20
Participant5,44
Participant2,94
Participant3,43
Participant4,23
Participant5,66
