Participant,Time to Receive
Participant2,536
Participant3,572
Participant4,576
Participant5,620
Participant2,18
Participant3,24
Participant4,45
Participant5,43
Participant2,11
Participant3,20
Participant4,31
Participant5,47
Participant2,15
Participant3,14
Participant4,153
Participant5,40
Participant2,11
Participant3,17
Participant4,24
Participant5,83
Participant2,72
Participant3,16
Participant4,26
Participant5,89
Participant2,10
Participant3,15
Participant4,27
Participant5,38
Participant2,12
Participant3,16
Participant4,28
Participant5,36
Participant2,12
Participant3,20
Participant4,93
Participant5,43
Participant2,12
Participant3,18
Participant4,24
Participant5,630
Participant2,12
Participant3,24
Participant4,23
Participant5,36
