Participant,Time to Receive
Participant2,686
Participant3,2462
Participant4,674
Participant5,612
Participant2,163
Participant3,24
Participant4,44
Participant5,1157
Participant2,46
Participant3,1927
Participant4,67
Participant5,493
Participant2,254
Participant3,24
Participant4,74
Participant5,139
Participant2,323
Participant3,21679
Participant4,253
Participant5,221
Participant2,19
Participant3,44
Participant4,3373
Participant5,16353
Participant2,4701
Participant3,14
Participant4,22
Participant5,42
Participant2,18
Participant3,32
Participant4,52
Participant5,25421
Participant2,863
Participant3,587
Participant4,22
Participant5,637
Participant2,3794
Participant3,4971776
Participant4,3137
Participant5,40
Participant2,12
Participant3,344
Participant4,3947
Participant5,566
