Participant,Time to Receive
Participant2,561
Participant3,510
Participant4,500
Participant5,593
Participant2,16
Participant3,27
Participant4,30
Participant5,65
Participant2,12
Participant3,824
Participant4,23
Participant5,959
Participant2,16
Participant3,21
Participant4,29
Participant5,50
Participant2,43
Participant3,28
Participant4,28
Participant5,39
Participant2,18
Participant3,17
Participant4,25
Participant5,38
Participant2,14
Participant3,16
Participant4,23
Participant5,74
Participant2,9
Participant3,15
Participant4,29
Participant5,30
Participant2,38
Participant3,15
Participant4,23
Participant5,31
Participant2,21
Participant3,25
Participant4,98
Participant5,46
Participant2,9
Participant3,14
Participant4,21
Participant5,31
