Participant,Time to Receive
Participant2,877
Participant3,585
Participant4,19386
Participant5,1071
Participant2,559
Participant3,99
Participant4,506
Participant5,131
Participant2,12
Participant3,223
Participant4,31062
Participant5,44
Participant2,124
Participant3,1612
Participant4,48
Participant5,2248
Participant2,373
Participant3,2537
Participant4,4090
Participant5,69
Participant2,663
Participant3,44
Participant4,39
Participant5,122
Participant2,243879
Participant3,18713
Participant4,29
Participant5,260
Participant2,586
Participant3,1859
Participant4,44
Participant5,123
Participant2,62
Participant3,4584
Participant4,102
Participant5,46
Participant2,181
Participant3,77
Participant4,362
Participant5,33
Participant2,256
Participant3,822
Participant4,822
Participant5,44
