Participant,Time to Receive
Participant2,575
Participant3,3740
Participant4,793
Participant5,554
Participant2,27
Participant3,372
Participant4,39
Participant5,679
Participant2,40
Participant3,21
Participant4,25
Participant5,66
Participant2,17
Participant3,21
Participant4,32
Participant5,5642
Participant2,1070
Participant3,54
Participant4,52
Participant5,51
Participant2,18
Participant3,106
Participant4,29
Participant5,164
Participant2,8144
Participant3,16
Participant4,42
Participant5,299
Participant2,12
Participant3,54
Participant4,26
Participant5,84
Participant2,13
Participant3,45
Participant4,27
Participant5,401
Participant2,14
Participant3,4978
Participant4,179
Participant5,40
Participant2,91
Participant3,92
Participant4,89
Participant5,44
