Participant,Time to Receive
Participant2,620
Participant3,579
Participant4,530
Participant5,547
Participant2,51
Participant3,23
Participant4,37
Participant5,43
Participant2,9
Participant3,32
Participant4,33
Participant5,60
Participant2,12
Participant3,20
Participant4,32
Participant5,48
Participant2,13
Participant3,19
Participant4,26
Participant5,39
Participant2,27
Participant3,15
Participant4,30
Participant5,40
Participant2,9
Participant3,17
Participant4,31
Participant5,34
Participant2,11
Participant3,17
Participant4,30
Participant5,54
Participant2,10
Participant3,19
Participant4,31
Participant5,32
Participant2,15
Participant3,20
Participant4,25
Participant5,37
Participant2,15
Participant3,17
Participant4,23
Participant5,37
