Participant,Time to Receive
Participant2,625
Participant3,602
Participant4,578
Participant5,593
Participant2,8449
Participant3,25
Participant4,188
Participant5,45
Participant2,28
Participant3,39
Participant4,36
Participant5,52
Participant2,214
Participant3,33
Participant4,53
Participant5,4992
Participant2,705
Participant3,134
Participant4,30
Participant5,66
Participant2,3916
Participant3,15
Participant4,260
Participant5,240
Participant2,7265
Participant3,163
Participant4,34
Participant5,43
Participant2,121
Participant3,22
Participant4,36
Participant5,38
Participant2,11
Participant3,264
Participant4,39
Participant5,124
Participant2,15
Participant3,19
Participant4,53
Participant5,706
Participant2,13
Participant3,34
Participant4,46
Participant5,72
