Participant,Time to Receive
Participant2,611
Participant3,630
Participant4,589
Participant5,624
Participant2,35
Participant3,36
Participant4,56
Participant5,66
Participant2,29
Participant3,32
Participant4,51
Participant5,52
Participant2,23
Participant3,43
Participant4,51
Participant5,66
Participant2,34
Participant3,43
Participant4,53
Participant5,71
Participant2,23
Participant3,54
Participant4,44
Participant5,77
Participant2,57
Participant3,41
Participant4,69
Participant5,57
Participant2,22
Participant3,57
Participant4,49
Participant5,64
Participant2,42
Participant3,26
Participant4,53
Participant5,47
Participant2,35
Participant3,30
Participant4,35
Participant5,53
Participant2,42
Participant3,24
Participant4,46
Participant5,55
